Modified on,return_cleaned
2020-01-03,0.0
2020-01-10,-0.04348511193973881
2020-01-17,-0.2513144282809062
2020-01-24,-0.2595111954850844
2020-01-31,0.0363676441708749
2020-02-07,0.0
2020-02-14,0.0
2020-02-21,-0.0363676441708749
2020-02-28,-0.20479441264601328
2020-03-06,0.0
2020-03-13,-0.04652001563489283
2020-03-20,-0.04879016416943194
2020-03-27,-0.05129329438755059
2020-04-03,-0.17185025692665934
2020-04-10,0.0
2020-04-17,0.0
2020-04-24,-0.06453852113757108
2020-05-01,0.06453852113757108
2020-05-08,0.0
2020-05-15,0.27193371548364187
2020-05-22,0.0
2020-05-29,-0.04879016416943194
2020-06-05,-0.05129329438755059
2020-06-12,-0.054067221270275745
2020-06-19,0.0
2020-06-26,0.0
2020-07-03,0.0
2020-07-10,-0.057158413839948574
2020-07-17,0.0
2020-07-24,0.0
2020-07-31,0.057158413839948574
2020-08-07,0.0
2020-08-14,0.0
2020-08-21,-0.057158413839948574
2020-08-28,-0.06062462181643502
2020-09-04,-0.06453852113757108
2020-09-11,0.0
2020-09-18,0.0
2020-09-25,-0.06899287148695143
2020-10-02,0.0
2020-10-09,0.0
2020-10-16,-0.07410797215372189
2020-10-23,0.0
2020-10-30,-0.16705408466316607
2020-11-06,0.0
2020-11-13,0.0
2020-11-20,0.0
2020-11-27,0.0
2020-12-04,0.0
2020-12-11,0.0
2020-12-18,0.0
2020-12-25,0.0
2021-01-01,0.0
2021-01-08,-0.07696104113612834
2021-01-15,-0.040821994520255256
2021-01-22,0.0
2021-01-29,0.0
2021-02-05,0.0
2021-02-12,-0.042559614418795855
2021-02-19,0.0
2021-02-26,0.0
2021-03-05,0.0
2021-03-12,-0.04445176257083383
2021-03-19,0.0
2021-03-26,0.1670540846631663
2021-04-02,0.0
2021-04-09,0.0
2021-04-16,0.0
2021-04-23,0.1431008436406731
2021-04-30,0.12516314295400632
2021-05-07,0.25782910930209957
2021-05-14,0.10763066419236544
2021-05-21,0.0
2021-05-28,-0.2029408439966902
2021-06-04,0.024692612590371366
2021-06-11,-0.07598590697792196
2021-06-18,0.0
2021-06-25,0.05129329438755059
2021-07-02,0.11778303565638337
2021-07-09,0.10536051565782634
2021-07-16,-0.040821994520255145
2021-07-23,0.0
2021-07-30,0.040821994520255145
2021-08-06,-0.020202707317519497
2021-08-13,-0.04167269640056803
2021-08-20,-0.06595796779179741
2021-08-27,0.04445176257083394
2021-09-03,0.083381608939051
2021-09-10,0.3220834991691132
2021-09-17,0.06995858860691045
2021-09-24,0.26028309826366647
2021-10-01,0.12699969076130757
2021-10-08,-0.009216655104924018
2021-10-15,-0.2876820724517809
2021-10-22,-0.30010459245033816
2021-10-29,0.0
2021-11-05,0.22314355131420982
2021-11-12,0.06453852113757119
2021-11-19,0.06062462181643477
2021-11-26,-0.2682639865946793
2021-12-03,0.0
2021-12-10,0.0
2021-12-17,0.0
2021-12-24,0.07410797215372178
2021-12-31,0.0
2022-01-07,0.0
2022-01-14,0.0
2022-01-21,-0.023392879574705483
2022-01-28,0.05748709091768156
2022-02-04,0.08561375272299176
2022-02-11,0.16507975035944844
2022-02-18,0.0
2022-02-25,0.0
2022-03-04,-0.04445176257083361
2022-03-11,-0.14660347419187558
2022-03-18,-0.15327387135372378
2022-03-25,0.006116227017436082
2022-04-01,0.2707716003034644
2022-04-08,-0.023530497410194084
2022-04-15,-0.04879016416943205
2022-04-22,-0.09431067947124128
2022-04-29,-0.027856954502966214
2022-05-06,0.12216763397420749
2022-05-13,0.024692612590371477
2022-05-20,-0.06551460711062662
2022-05-27,0.010362787035546606
2022-06-03,0.03045920748470854
2022-06-10,0.0
2022-06-17,-0.07796154146971179
2022-06-24,0.0
2022-07-01,0.12675170563914384
2022-07-08,0.0
2022-07-15,0.04652001563489294
2022-07-22,0.04445176257083361
2022-07-29,0.12260232209233246
2022-08-05,0.0
2022-08-12,0.19189100781010537
2022-08-19,0.04652001563489283
2022-08-26,0.015037877364540542
2022-09-02,0.15201620729862553
2022-09-09,0.0
2022-09-16,-0.05264373348542173
2022-09-23,0.07796154146971168
2022-09-30,0.0606246218164348
2022-10-07,0.0899482366629396
2022-10-14,0.06252035698133396
2022-10-21,0.09622803209455388
2022-10-28,0.07933674223652099
2022-11-04,0.09376815945250949
2022-11-11,0.13680534836548452
2022-11-18,0.07391568295016793
2022-11-25,0.07580296341550108
2022-12-02,0.09077023641031445
2022-12-09,-0.389716751140025
2022-12-16,-0.0645385211375713
2022-12-23,0.08004270767353638
2022-12-30,0.0
2023-01-06,0.015504186535965081
2023-01-13,0.14310084364067333
2023-01-20,0.09893994785490356
2023-01-27,-0.06873410579783767
2023-02-03,-0.09919871354401733
2023-02-10,-0.2142546038969635
2023-02-17,0.11364469099773511
2023-02-24,0.10488646966648862
2023-03-03,0.17566120867141843
2023-03-10,-0.15176688847198228
2023-03-17,-0.02389432019943616
2023-03-24,0.06471631471969119
2023-03-31,0.013245226750020489
2023-04-07,-0.033447934067539986
2023-04-14,0.04652001563489305
2023-04-21,-0.03300629646816988
2023-04-28,0.0586487270815077
2023-05-05,-0.006349227678659197
2023-05-12,-0.015404669194986287
2023-05-19,-0.0169606153070454
2023-05-26,-0.04990921112161173
2023-06-02,-0.0911693871382937
2023-06-09,0.034255024550319035
2023-06-16,-0.052604163218515465
2023-06-23,-0.007745972114655331
2023-06-30,0.04560060540710853
2023-07-07,-0.01950549462425677
2023-07-14,-0.003034903695153801
2023-07-21,-0.06271647386762647
2023-07-28,0.0349797188960268
2023-08-04,-0.03174869831458027
